location_id,latitude,longitude,dist_road_m,dist_hospital_m,flood_risk
103,22.514999999999986,88.30999999999999,6.793399323961773,664.0242185714367,0.0
104,22.519999999999985,88.30999999999999,108.16413786212776,1094.9341924459118,0.0
105,22.524999999999984,88.30999999999999,0.07337000511561478,1427.330327007369,0.0
106,22.529999999999983,88.30999999999999,21.93060623004931,1564.3844642468196,0.0
107,22.534999999999982,88.30999999999999,29.361669760979982,1229.9555558412478,0.0
108,22.53999999999998,88.30999999999999,6.662507557382321,676.448889721713,0.0
109,22.54499999999998,88.30999999999999,0.9730232868670439,123.69595485811755,0.0
110,22.54999999999998,88.30999999999999,181.91226539525204,431.2128800895351,0.0
111,22.55499999999998,88.30999999999999,17.32440828108986,855.573821014757,0.0
112,22.559999999999977,88.30999999999999,4.679290267453713,354.2700789393642,0.0
113,22.564999999999976,88.30999999999999,6.263920723056737,351.3178906332012,0.0
114,22.569999999999975,88.30999999999999,24.443742785597063,856.8957091008093,0.0
115,22.574999999999974,88.30999999999999,31.997188460863153,872.6895583375585,0.0
116,22.579999999999973,88.30999999999999,9.289146166330232,700.244684952709,0.0
117,22.584999999999972,88.30999999999999,17.107929990485303,151.55638667689232,0.0
118,22.58999999999997,88.30999999999999,3.288368219707748,410.5217757241063,0.0
119,22.59499999999997,88.30999999999999,3.2826674525851076,962.8188317182542,0.0
120,22.59999999999997,88.30999999999999,9.386683151214559,1516.0627874871439,0.0
121,22.60499999999997,88.30999999999999,35.7182532970613,1868.9425632201162,0.0
122,22.609999999999967,88.30999999999999,8.601952258910124,1429.90684861578,0.0
123,22.614999999999966,88.30999999999999,52.771792174405164,1099.6609224436245,0.0
124,22.619999999999965,88.30999999999999,24.601865537871912,993.3826379384845,0.0
125,22.624999999999964,88.30999999999999,129.26883399312095,1173.584029306632,0.0
126,22.629999999999963,88.30999999999999,23.853188321983243,1542.9602992848781,0.0
127,22.634999999999962,88.30999999999999,123.03241928747812,1861.3968505940618,0.0
128,22.63999999999996,88.30999999999999,260.6844301792158,1857.276205196918,0.0
129,22.64499999999996,88.30999999999999,11.236127583108368,2011.73952746041,0.0
130,22.64999999999996,88.30999999999999,78.48505896635425,2292.9593156499513,0.0
131,22.65499999999996,88.30999999999999,61.00727874180276,2661.0478216752576,0.0
132,22.659999999999958,88.30999999999999,20.15701192533605,3085.066660685663,0.0
133,22.664999999999957,88.30999999999999,50.76527326504351,3213.4702919645465,0.0
134,22.669999999999956,88.30999999999999,12.013427948002908,3224.763762057782,0.0
135,22.45,88.31499999999998,1.7179398910646722,1100.4517396984882,0.0
136,22.455,88.31499999999998,31.70692302500287,642.1311491695849,0.0
137,22.459999999999997,88.31499999999998,19.281450548847307,476.0110778966041,0.0
138,22.464999999999996,88.31499999999998,15.90044563538512,477.85384018557653,0.0
139,22.469999999999995,88.31499999999998,13.460799375204735,633.570728707761,0.0
140,22.474999999999994,88.31499999999998,16.44412348775066,752.5785489168242,0.0
